;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JM;77000-0-00-FCZ154620JM ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JW;77000-0-00-FCZ154620JW ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JD;77000-0-00-FCZ154620JD ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JN;77000-0-00-FCZ154620JN ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620K1;77000-0-00-FCZ154620K1 ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Коммутатор (Тип 3);Cisco;Catalyst 3750(WS-C3750G-48TS-S);FCZ154620JR;77000-4-155-FCZ154620JR ;З/Б;2011;01.01.2016;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1PG10 ;77000-4-4-01-PB1PG10 ;101340219010;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP22 ;77000-3-3-65-PB1YP22 ;101340218921;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP26 ;77000-6-6-25-PB1YP26 ;101340218917;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP28;77000-4-4-07-PB1YP28;101340218928;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP29  ;77000-6-6-10-PB1YP29  ;101340218953;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP33;77000-1-1-50-PB1YP33;101340218955;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP34;77000-4-4-58-PB1YP34;101340218929;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YP35 ;77000-1-1-08-PB1YP35 ;101340218989;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR27 ;77000-4-4-01-PB1YR27 ;101340218922;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR29 ;77000-6-6-71-PB1YR29 ;101340218982;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR30;77000-1-1-50-PB1YR30;101340218920;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR31 ;77000-2-2-67-PB1YR31 ;101340218914;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR33 ;77000-4-4-19-PB1YR33 ;101340218978;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR35 ;77000-1-1-45-PB1YR35 ;101340219023;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR41;77000-2-3-129-PB1YR41;101340219068;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR44 ;77000-3-3-27-PB1YR44 ;101340219089;2013;01.09.2018;!;!
