;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432850;77015-11-11-34-ES12432850;110134001058;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NZ86;77015-1-Опер.зал. Окно №12-PB4NZ86;110134000834;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432588;77015-9-09-52-ES12432588;110134001047;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE66;77015-7-07-49-PB1AE66;110134000853;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PF96;77015-7-07-48-PB1PF96;110134000925;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE90;77015-9-09-44-PB1AE90;110134000962;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE26;77015-7-07-38-PB1AE26;110134000868;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE85;77015-9-09-38-PB1AE85;110134000861;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CZ4E;77015-6-06-39-PB2CZ4E;110134000900;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2AW4L;77015-10-10-54-PB2AW44;110134000903;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG78;77015-7-07-54-PB1PG78;110134000977;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1XG31;77015-2-02-41-PB1XG31;110134001000;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1XH39;77015-10-10-48-PB1XH39;110134001011;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE19;77015-9-09-38-PB1AE19;110134000856;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6M0XB;77015-6-06-26-PB6MOXB;110134000986;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD28;77015-2-2-85-PB4MD28;110134000982;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2AY8A;77015-11-11-36-PB2AY8A;110134000899;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CV0D;77015-6-06-41-PB2CV0D;110134000919;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AH73;77015-2-02-31-PB1AH73;110134000852;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YW20;77015-8-08-52-PB1YW20;110134000929;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2AY7Y;77015-2-02-49-PB2AY7Y;110134000906;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW52;77015-9-09-46-PB4NW52;110134000850;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CZ7V;77015-7-07-44-PB2CZ7V;110134000830;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AH95;77015-9-09-36-PB1AH95;110134000881;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG81;77015-7-07-34-PB1PG81;110134000996;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD39;77015-10-10-38-PB4MD39;110134000973;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG77;77015-10-10-46-PB1PG77;110134000974;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YV59;77015-10-10-50-PB1YV59;110134000942;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432856;77015-1-Опер.зал. Эл. Очередь-ES12432856;110134001064;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12433030;77015-9-09-52-ES12433030;110134001069;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YV48;77015-9-09-36-PB1YV48;110134000945;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YW07;77015-6-06-42-PB1YW07;110134000935;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YW17;77015-8-08-36-PB1YW17;110134000939;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MX38;77015-10-10-45-PB4MX38;110134000990;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12451225;77015-9-09-56-ES12451225;110134001072;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD72;77015-8-08-50-PB4MD72;110134000966;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD38;77015-2-02-41-PB4MD38;110134000965;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD79;77015-3-03-43-PB4MD79;110134000981;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW59;77015-2-02-41-PB4NW59;110134000851;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432928;77015-6-06-51-ES12432928;110134001067;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432853;77015-7-07-55-ES12432853;110134001061;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG85;77015-10-10-45-PB1PG85;110134000995;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE92;77015-7-07-57-PB1AE92;110134000952;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE80;77015-3-03-48-PB1AE80;110134000955;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG05;77015-2-02-45-PB1PG05;110134000839;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CZ6T;77015-10-10-51-PB2CZ6T;110134000915;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YV49;77015-10-10-48-PB1YV49;110134001020;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM98;77015-1-опер.зал. окно 11-PB4NM98;110134000956;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW51;77015-8-08-39-PB4NW51;110134000844;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW63;77015-11-11-35-PB4NW63;110134000896;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6M0WX;77015-7-07-36-PB6MOWX;110134000980;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PP41;77015-8-08-37-PB4PP41;110134000887;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YP57;77015-6-06-31-PB1YP57;110134001006;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NY05;77015-10-10-52-PB4NY05;110134000863;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW58;77015-6-06-51-PB4NW58;110134000828;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW58;77015-8-08-44-PB4NW58;110134000829;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432079;77015-7-07-55-ES12432079;110134001041;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YP64;77015-9-09-50-PB1YP64;110134000997;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PF97;77015-2-02-42-PB1PF97;110134000932;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PP50;77015-8-08-37-PB4PP50;110134000875;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432576;77015-9-09-48-ES12432576;110134001046;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432648;77015-11-11-56-ES12432648;110134001049;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432847;77015-11-11-55-ES12432847;110134001055;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4ME16;77015-6-06-43-PB4ME16;110134000949;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CT8C;77015-9-09-48-PB2CT8C;110134000833;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CT8K;77015-10-10-56-PB2CT8K;110134000916;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432514;77015-9-09-47-ES12432514;110134001044;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE76;77015-1-опер.зал. окно 20-PB1AE76;110134000959;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6M2MH;77015-2-02-31-PB6M2MH;110134001003;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD70;77015-3-03-43-PB4MD70;110134000983;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6L5HV;77015-1-опер.зал. окно 17-PB6L5HV;110134001007;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE29;77015-7-07-48-PB1AE29;110134000882;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432855;77015-9-09-38-ES12432855;110134001063;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4ME20;77015-9-09-46-PB4ME20;110134000865;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE20;77015-8-08-38-PB1AE20;110134000880;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG08;77015-2-02-32-PB1PG08;110134000926;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6L5KC;77015-8-08-43-PB6L5KC;110134000994;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CF8F;77015-9-09-48-PB2CF8F;110134000913;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD76;77015-9-09-53-PB4MD76;110134001016;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD36;77015-11-11-47-PB4MD36;110134001014;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NW53;77015-7-07-46-PB4NW53;110134000842;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NY10;77015-7-07-48-PB4NY10;110134000849;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PH16;77015-2-02-49-PB1PH16;110134000840;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CZ6W;77015-6-6-86-PB2CZ6W;110134000904;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PM19;77015-7-07-38-PB1PM19;110134001001;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG06;77015-9-09-49-PB1PG06;110134000944;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD77;77015-7-07-57-PB4MD77;110134000970;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CG1N;77015-10-49-PB2CG1N;110134000901;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YP54;77015-6-06-26-PB1YP54;110134001009;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432846;77015-9-09-36-ES12432846;110134001054;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432849;77015-11-11-34-ES12432849;110134001057;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432594;77015-8-08-49-ES12432594;110134001048;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG94;77015-1-опер.зал. окно 21-PB1PG94;110134000936;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432657;77015-2-02-44-ES12432657;110134001051;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PT88;77015-2-02-41-PB4PT88;110134000838;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432985;77015-9-09-53-ES12432985;110134001068;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE87;77015-8-08-52-PB1AE87;110134000877;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AH75;77015-10-10-38-PB1AH75;110134000884;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE27;77015-8-08-38-PB1AE27;110134000885;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6L6ZW;77015-6-06-38-PB646ZW;110134000975;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG73;77015-7-07-35-PB1PG73;110134000992;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE68;77015-7-07-45-PB1AE68;110134000950;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YV50;77015-10-10-49-PB1YV50;110134000943;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CG2A;77015-9-09-48-PB2CG2A;110134000831;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YW09;77015-8-08-54-PB1YW09;110134000847;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE88;77015-10-10-51-PB1AE88;110134000864;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PA15;77015-8-08-43-PB4PA15;110134000891;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NZ87;77015-10-10-51-PB4NZ87;110134000859;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG07;77015-10-10-45-PB1PG07;110134000940;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432852;77015-8-08-46-ES12432852;110134001060;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432731;77015-9-09-56-ES12432731;110134001052;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG83;77015-6-06-30-PB1PG83;110134001018;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PP49;77015-9-09-57-PB4PP49;110134000888;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CT9Z;77015-2-02-42-PB2CT9Z;110134000909;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CT9W;77015-7-07-46-PB2CT9W;110134000832;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CV0A;77015-2-02-42-PB2CV0A;110134000920;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE91;77015-8-08-37-PB1AE91;110134000862;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1XH42;77015-7-07-33-PB1XH42;110134000988;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CX3Z;77015-6-06-25-PB2CX3Z;110134000917;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432568;77015-11-11-53-ES12432568;110134001045;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE75;77015-8-08-48-PB1AE75;110134000873;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AH76;77015-6-06-41-PB1AH76;110134000876;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD29;77015-11-11-37-PB4MD29;110134000963;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG86;77015-7-07-39-PB1PG86;110134000991;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4ME26;77015-7-07-54-PB4ME26;110134000954;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CV0E;77015-11-11-37-PB2CVCE;110134000930;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB2CV0Y;77015-9-09-51-PB2CV0Y;110134000908;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PP55;77015-1-опер.зал. окно 16-PB4PP55;110134000895;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12451218;77015-9-09-56-ES12451218;110134001071;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1AE69;77015-7-07-46-PB1AE69;110134000870;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6L6WZ;77015-10-10-45-PB6L6WZ;110134000993;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6M0WW;77015-8-08-36-PB6MOWW;110134000987;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1PG80;77015-9-09-50-PB1PG80;110134001004;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432190;77015-9-09-54-ES12432190;110134001043;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NM99;77015-3-03-48-PB4NM99;110134000953;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD73;77015-2-02-41-PB4MD73;110134000964;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432069;77015-2-02-42-ES12432069;110134001039;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6MIGR;77015-2-02-39-PB6M1GR;110134000984;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6L7AD;77015-10-10-46-PB6L7AD;110134000979;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4MD37;77015-2-02-44-PB4MD37;110134000967;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432925;77015-11-48-ES12432925;110134001066;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB1YV52;77015-6-06-30-PB1YV52;110134000894;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6M0XR;77015-2-02-33-PB6MOXR;110134000933;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre M4350;ES12432073;77015-11-11-43-ES12432073;110134001040;2013;22.03.2015;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB6M2ME;77015-8-08-51-PB6M2ME;110134000989;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4NZ28;77015-2-02-49-PB4NZ28;110134000843;2013;03.07.2018;!;!
!;7710;ИФНС России №10 по Москве;Рабочая станция (Тип 0);Lenovo;ThinkCentre EDGE72;PB4PA87;77015-6-06-26-PB4PA87;110134000855;2013;03.07.2018;!;!
